AA,0.001831
AB,0.001713
AC,0.004011
AD,0.006697
AE,0.002429
AF,0.006198
AG,0.001172
AH,0.000583
AI,0.000799
AJ,0.000432
AK,0.000056
AL,0.004749
AM,0.007089
AN,0.004713
AO,0.000888
AP,0.001436
AQ,0.003489
AR,0.008162
AS,0.007545
AT,0.003024
AU,0.000854
AV,0.000757
AW,0.000013
AX,0.000023
AY,0.000469
AZ,0.000354
BA,0.001492
BB,0.000013
BC,0.000017
BD,0.000008
BE,0.001005
BF,0.000017
BG,0.000006
BH,0.000004
BI,0.000927
BJ,0.000038
BK,0.000001
BL,0.000642
BM,0.000014
BN,0.000010
BO,0.001371
BP,0.000002
BQ,0.000000
BR,0.000930
BS,0.000136
BT,0.000026
BU,0.000264
BV,0.003940
BW,0.000001
BX,0.000000
BY,0.000006
BZ,0.000002
CA,0.003438
CB,0.000010
CC,0.006949
CD,0.002628
CE,0.001802
CF,0.007460
CG,0.001386
CH,0.000853
CI,0.006262
CJ,0.000005
CK,0.000031
CL,0.000648
CM,0.009140
CN,0.001012
CO,0.009644
CP,0.003332
CQ,0.000006
CR,0.001376
CS,0.004394
CT,0.001338
CU,0.001397
CV,0.000012
CW,0.000001
CX,0.000000
CY,0.001118
CZ,0.000002
DA,0.007490
DB,0.000015
DC,0.002929
DD,0.000314
DE,0.012035
DF,0.000368
DG,0.000706
DH,0.000019
DI,0.003555
DJ,0.000020
DK,0.000001
DL,0.000175
DM,0.000277
DN,0.000339
DO,0.004022
DP,0.000895
DQ,0.000191
DR,0.000674
DS,0.000730
DT,0.000023
DU,0.000579
DV,0.002528
DW,0.000006
DX,0.000004
DY,0.000013
DZ,0.000002
EA,0.001047
EB,0.000390
EC,0.009693
ED,0.004026
EE,0.000597
EF,0.001131
EG,0.003171
EH,0.000141
EI,0.000374
EJ,0.000418
EK,0.000030
EL,0.010415
EM,0.001875
EN,0.009078
EO,0.000462
EP,0.008193
EQ,0.001669
ER,0.012255
ES,0.020361
ET,0.001208
EU,0.000232
EV,0.000635
EW,0.000018
EX,0.000573
EY,0.000170
EZ,0.000453
FA,0.000900
FB,0.000007
FC,0.004843
FD,0.000107
FE,0.001582
FF,0.000027
FG,0.000311
FH,0.000003
FI,0.001960
FJ,0.000000
FK,0.000001
FL,0.000088
FM,0.000005
FN,0.000061
FO,0.000420
FP,0.008183
FQ,0.000000
FR,0.001357
FS,0.013678
FT,0.000042
FU,0.000421
FV,0.000001
FW,0.000001
FX,0.000052
FY,0.000000
FZ,0.000006
GA,0.001391
GB,0.000034
GC,0.000095
GD,0.000123
GE,0.000754
GF,0.000150
GG,0.000056
GH,0.000132
GI,0.000456
GJ,0.000013
GK,0.000002
GL,0.000120
GM,0.000633
GN,0.000306
GO,0.000823
GP,0.000655
GQ,0.000011
GR,0.021862
GS,0.000287
GT,0.000191
GU,0.000906
GV,0.000009
GW,0.000004
GX,0.000000
GY,0.000057
GZ,0.000002
HA,0.001661
HB,0.000011
HC,0.000018
HD,0.000003
HE,0.000355
HF,0.000015
HG,0.000011
HH,0.000002
HI,0.000307
HJ,0.000002
HK,0.000004
HL,0.000008
HM,0.000012
HN,0.000021
HO,0.000806
HP,0.000003
HQ,0.000001
HR,0.000023
HS,0.000020
HT,0.000010
HU,0.000164
HV,0.000013
HW,0.000004
HX,0.000000
HY,0.000004
HZ,0.000000
IA,0.002855
IB,0.000480
IC,0.003490
ID,0.002292
IE,0.001991
IF,0.001144
IG,0.000780
IH,0.000009
II,0.000407
IJ,0.000099
IK,0.000025
IL,0.001156
IM,0.002076
IN,0.007413
IO,0.002082
IP,0.003206
IQ,0.000054
IR,0.001699
IS,0.003549
IT,0.002375
IU,0.002172
IV,0.000959
IW,0.000008
IX,0.000011
IY,0.000008
IZ,0.000462
JA,0.000438
JB,0.000003
JC,0.000124
JD,0.000006
JE,0.001831
JF,0.000110
JG,0.001435
JH,0.000000
JI,0.000082
JJ,0.000003
JK,0.000000
JL,0.000001
JM,0.000077
JN,0.000114
JO,0.000548
JP,0.000623
JQ,0.000000
JR,0.000037
JS,0.001209
JT,0.000002
JU,0.000442
JV,0.000007
JW,0.000000
JX,0.000000
JY,0.000000
JZ,0.000000
KA,0.000082
KB,0.000007
KC,0.000003
KD,0.000002
KE,0.000053
KF,0.000010
KG,0.000005
KH,0.000004
KI,0.000061
KJ,0.000002
KK,0.000009
KL,0.000008
KM,0.000007
KN,0.000012
KO,0.000033
KP,0.000002
KQ,0.000000
KR,0.000010
KS,0.000019
KT,0.000002
KU,0.000018
KV,0.000001
KW,0.000004
KX,0.000000
KY,0.000004
KZ,0.000005
LA,0.005797
LB,0.000136
LC,0.000443
LD,0.000917
LE,0.004067
LF,0.000384
LG,0.005684
LH,0.000035
LI,0.001812
LJ,0.000036
LK,0.000015
LL,0.001112
LM,0.000430
LN,0.000247
LO,0.002421
LP,0.000600
LQ,0.000044
LR,0.000125
LS,0.001732
LT,0.000715
LU,0.000549
LV,0.000181
LW,0.000004
LX,0.000001
LY,0.000018
LZ,0.000053
MA,0.002514
MB,0.000709
MC,0.000417
MD,0.000080
ME,0.002197
MF,0.004619
MG,0.000159
MH,0.000012
MI,0.004616
MJ,0.000003
MK,0.000000
ML,0.000049
MM,0.006967
MN,0.001917
MO,0.002658
MP,0.008724
MQ,0.000012
MR,0.000070
MS,0.017904
MT,0.000079
MU,0.000646
MV,0.000031
MW,0.000053
MX,0.000038
MY,0.000016
MZ,0.000057
NA,0.003719
NB,0.000112
NC,0.013692
ND,0.002606
NE,0.007879
NF,0.003621
NG,0.002799
NH,0.000199
NI,0.002802
NJ,0.001161
NK,0.000020
NL,0.000608
NM,0.000368
NN,0.000841
NO,0.017250
NP,0.004212
NQ,0.000977
NR,0.000346
NS,0.005790
NT,0.005316
NU,0.000974
NV,0.000410
NW,0.000011
NX,0.000255
NY,0.000045
